split,ratio,base_imp,scheme,mse,variance,bias2
0.7,5,50,harmonic,0.0011852072418555367,0.0011807653915185496,4.441850336986971e-06
0.7,5,100,original,0.0012135228042171975,0.0011792849265041465,3.4237877713050966e-05
0.7,5,100,harmonic,0.000633515724970146,0.0006130822047856365,2.043352018450945e-05
0.7,10,2,original,0.11790883132370303,0.11650936971844986,0.0013994616052531686
0.7,10,2,harmonic,0.05633359483668974,0.05561716428368753,0.0007164305530022134
0.7,10,5,original,0.029668578052744643,0.02913077436717848,0.0005378036855661673
0.7,10,5,harmonic,0.011923910548732328,0.01186770245516047,5.6208093571856794e-05
0.7,10,10,original,0.009035627116401178,0.00900661837815248,2.900873824869757e-05
0.7,10,10,harmonic,0.005756248595841779,0.005744798097874606,1.1450497967172702e-05
0.7,10,20,original,0.006273030935212924,0.006217990141422087,5.504079379083583e-05
0.7,10,20,harmonic,0.0036685525713461807,0.0036441934331181763,2.4359138228004355e-05
0.7,10,50,original,0.0018944448065368255,0.0018859246628666689,8.52014367015677e-06
0.7,10,50,harmonic,0.0011020732506944067,0.0010892674812536338,1.2805769440772934e-05
0.7,10,100,original,0.0013050150973034148,0.001301858285885517,3.156811417897695e-06
0.7,10,100,harmonic,0.0006243496204051148,0.0006206894370748837,3.660183330231253e-06
0.7,20,2,original,0.10201766283988903,0.09775029716622168,0.004267365673667327
0.7,20,2,harmonic,0.06349360850805838,0.06159897304520458,0.0018946354628538073
0.7,20,5,original,0.03363941974299941,0.032591942012750806,0.0010474777302486005
0.7,20,5,harmonic,0.01791219106703485,0.017523459172207975,0.0003887318948268741
0.7,20,10,original,0.014625786694164214,0.014561294418210625,6.449227595358909e-05
0.7,20,10,harmonic,0.007708737210913551,0.007692090606834115,1.6646604079434352e-05
0.7,20,20,original,0.004137899240862098,0.004124770014974351,1.3129225887748323e-05
0.7,20,20,harmonic,0.003181482095339717,0.003166812444123579,1.466965121613807e-05
0.7,20,50,original,0.002807983466429272,0.0027616875107541105,4.629595567516126e-05
0.7,20,50,harmonic,0.0012393996096737626,0.0012241817647596367,1.5217844914126087e-05
0.7,20,100,original,0.0012716470976038654,0.0012671012504446252,4.5458471592402095e-06
0.7,20,100,harmonic,0.000618594849264989,0.0006166854908812577,1.909358383731285e-06
0.7,50,2,original,0.07819055360481462,0.07658115289835228,0.0016094007064623474
0.7,50,2,harmonic,0.040775008753219225,0.04069091648070159,8.409227251763002e-05
0.7,50,5,original,0.023281847590704913,0.02262873916820361,0.0006531084225013042
0.7,50,5,harmonic,0.017432415860352497,0.017161628664152998,0.00027078719619949955
